PID,Rep,L_Midfoot_X,L_Midfoot_Y,L_Midfoot_Z,R_Midfoot_X,R_Midfoot_Y,R_Midfoot_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_KneeAngle_X,R_KneeAngle_Y,R_KneeAngle_Z,L_KneeAngle_X,L_KneeAngle_Y,L_KneeAngle_Z
mP006,8,0.036262,0.217014,0.015007,0.081514,-0.230633,0.015771,-0.227753,-0.127076,0.527218,0.14421,-0.186472,0.418241,-0.02482,-0.195084,0.078791,-0.228349,0.148943,0.51695,0.147672,0.174434,0.377666,-0.064915,0.195334,0.079392,3.87867,97.879875,3.813149,-6.867301,104.053368,0.787694
mP006,9,0.022526,0.199754,0.013859,0.057312,-0.208576,0.011816,-0.233117,-0.127415,0.518948,0.139936,-0.177944,0.409971,-0.046675,-0.172837,0.078537,-0.23853,0.150522,0.510399,0.140135,0.167111,0.37463,-0.078227,0.181931,0.080066,3.455042,101.022049,4.355854,-6.735386,105.949715,0.315801
mP006,10,0.031096,0.222151,0.015463,0.031063,-0.206283,0.011464,-0.252542,-0.126136,0.524556,0.118872,-0.175808,0.40729,-0.072419,-0.170444,0.078911,-0.249587,0.150536,0.520781,0.128976,0.165422,0.38298,-0.071882,0.205109,0.078371,3.773614,100.40155,3.247609,-6.706613,102.483749,0.14313
mV007,1,-0.072403,0.20983,0.014814,-0.060467,-0.222192,0.015043,-0.278428,-0.162369,0.754095,0.065072,-0.185247,0.381013,-0.177127,-0.173302,0.098014,-0.248431,0.13291,0.729386,0.082137,0.145011,0.402163,-0.173802,0.168858,0.102271,-5.523571,77.538528,-13.323734,-6.140815,76.709892,-5.137027
mV007,2,0.035221,0.218114,0.015734,0.049441,-0.249401,0.016565,-0.230517,-0.148793,0.695169,0.157872,-0.216827,0.391441,-0.066012,-0.190944,0.094905,-0.186656,0.146557,0.666317,0.188215,0.133484,0.400381,-0.063953,0.164583,0.09885,-4.057597,84.309425,-12.160107,-4.652972,85.029572,-0.788148
mV007,3,0.18863,0.2492,0.015825,0.180892,-0.249225,0.015913,-0.112552,-0.176377,0.608786,0.313833,-0.21838,0.370599,0.067904,-0.184676,0.093055,-0.078746,0.120193,0.57276,0.34143,0.149168,0.399497,0.092354,0.186217,0.095658,-1.856507,96.409668,-14.76427,-3.954911,96.7351,-0.588729
mV007,4,0.114944,0.270539,0.017154,0.136009,-0.221622,0.017737,-0.136584,-0.130969,0.710317,0.244808,-0.177759,0.390352,0.022089,-0.154228,0.090978,-0.102628,0.165538,0.682284,0.263306,0.177175,0.40158,0.013116,0.222386,0.10035,-5.142093,81.062172,-15.102343,-5.243686,83.002914,-4.62513
mV007,5,0.234052,0.316004,0.016105,0.178247,-0.224066,0.015954,-0.034903,-0.090088,0.643838,0.350154,-0.165271,0.348187,0.077829,-0.142841,0.094711,0.020243,0.203709,0.625634,0.407275,0.202816,0.380767,0.135717,0.269566,0.104327,-2.282054,93.341698,-19.24073,-4.232104,91.88253,-1.169154
mV007,6,0.326222,0.308302,0.015783,0.317682,-0.232669,0.017053,0.032549,-0.107546,0.626309,0.447934,-0.183931,0.373687,0.206207,-0.1609,0.089897,0.090561,0.183374,0.590407,0.495588,0.172166,0.380013,0.231849,0.241897,0.095113,-2.440621,93.222275,-16.328001,-4.408402,94.954445,3.085535
mV007,7,0.211173,0.297706,0.01485,0.217387,-0.245367,0.015974,-0.052352,-0.122346,0.611406,0.361763,-0.202108,0.36436,0.109975,-0.16942,0.090663,-0.002714,0.171248,0.574547,0.402666,0.185104,0.368242,0.118895,0.235588,0.099912,-1.734285,95.872467,-17.312593,-3.735039,99.221725,-0.937986
