PID,Rep,L_Midfoot_X,L_Midfoot_Y,L_Midfoot_Z,R_Midfoot_X,R_Midfoot_Y,R_Midfoot_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_KneeAngle_X,R_KneeAngle_Y,R_KneeAngle_Z,L_KneeAngle_X,L_KneeAngle_Y,L_KneeAngle_Z
mP006,9,0.064208,0.191833,0.016593,0.056851,-0.235119,0.014388,-0.260992,-0.151959,0.583191,0.101111,-0.182644,0.423949,-0.051672,-0.201821,0.074855,-0.248618,0.120943,0.578545,0.117158,0.135709,0.405262,-0.041186,0.168316,0.073085,4.799139,87.371994,-0.325892,-6.797445,89.502678,2.823113
mP006,10,0.063887,0.192108,0.016425,0.056037,-0.234758,0.01453,-0.259238,-0.152438,0.571384,0.106006,-0.184433,0.421164,-0.052377,-0.201941,0.075453,-0.24837,0.120917,0.568167,0.1208,0.143122,0.40379,-0.041093,0.168212,0.073525,4.753287,89.79158,0.004718,-6.854056,91.619789,2.140904
mV007,1,-0.05101,0.150155,0.014805,-0.04632,-0.193193,0.016277,-0.365217,-0.175513,0.564039,0.079854,-0.215187,0.3687,-0.161678,-0.137156,0.096502,-0.321135,0.124453,0.536253,0.1117,0.13221,0.395465,-0.150828,0.102938,0.100922,-1.170236,102.019524,-12.526859,-2.911788,104.152809,-2.70481
mV007,2,-0.049008,0.149011,0.013734,-0.043848,-0.195266,0.017431,-0.378213,-0.164415,0.499411,0.081455,-0.217359,0.365132,-0.158855,-0.131675,0.092354,-0.327466,0.136082,0.47317,0.117064,0.135552,0.389485,-0.148979,0.099277,0.098242,-0.176191,108.689575,-12.24288,-2.267324,111.772446,-2.003824
mV007,3,-0.0481,0.150765,0.01415,-0.04385,-0.196838,0.017417,-0.385547,-0.153712,0.486182,0.077148,-0.214325,0.368124,-0.158171,-0.129495,0.090078,-0.328702,0.145468,0.465746,0.117432,0.132174,0.390255,-0.147094,0.095538,0.096365,0.265094,109.610306,-13.089371,-3.019753,111.597466,-0.162346
mV007,4,-0.049912,0.152434,0.014652,-0.046169,-0.199983,0.017452,-0.380784,-0.157998,0.517425,0.075365,-0.214965,0.369783,-0.159107,-0.132117,0.09177,-0.332224,0.141088,0.487423,0.111463,0.138849,0.394215,-0.148408,0.097607,0.097729,-0.092531,106.207603,-13.939844,-3.147382,109.034813,-0.356795
mV007,5,-0.04892,0.152992,0.014679,-0.046032,-0.20226,0.017664,-0.385605,-0.157363,0.494696,0.073821,-0.220927,0.368581,-0.157427,-0.130108,0.090252,-0.334108,0.142484,0.470937,0.111836,0.13917,0.393432,-0.147134,0.095038,0.095948,0.104284,108.313126,-13.300793,-3.059693,110.589523,-0.263705
mV007,6,-0.048253,0.153333,0.014999,-0.04629,-0.203773,0.017706,-0.384289,-0.155452,0.497602,0.074681,-0.218077,0.369225,-0.155811,-0.12855,0.090028,-0.335109,0.144679,0.4755,0.110496,0.143751,0.394694,-0.146545,0.095579,0.096316,0.215266,107.855774,-13.915252,-3.096796,109.919395,-0.305322
mV007,7,-0.046092,0.151609,0.01414,-0.042941,-0.204118,0.017417,-0.37683,-0.172037,0.471461,0.084484,-0.229577,0.358392,-0.154735,-0.130709,0.088106,-0.325742,0.128386,0.450951,0.119545,0.151416,0.388256,-0.143823,0.093347,0.09577,0.713055,110.775581,-13.734708,-2.527825,113.490875,-0.938594
mV007,8,-0.046109,0.152364,0.014196,-0.046245,-0.203433,0.016912,-0.364578,-0.161691,0.479153,0.093371,-0.218853,0.353781,-0.152173,-0.124369,0.090479,-0.320437,0.13945,0.454928,0.125987,0.14112,0.381946,-0.144446,0.093681,0.094791,1.070806,110.919991,-14.608262,-2.727935,113.024666,-0.577291
mV007,9,-0.046522,0.153482,0.014995,-0.045049,-0.205049,0.017936,-0.379643,-0.163933,0.468215,0.082053,-0.225328,0.360119,-0.153169,-0.126117,0.08839,-0.330083,0.136798,0.454466,0.117772,0.125923,0.389987,-0.143801,0.092165,0.09491,0.91369,111.026001,-14.13684,-3.2765,112.530876,0.629051
mV007,10,-0.044682,0.153429,0.013985,-0.045636,-0.204813,0.017465,-0.364756,-0.160522,0.486179,0.091375,-0.220687,0.35495,-0.152897,-0.126266,0.089643,-0.314812,0.139736,0.466486,0.129348,0.144761,0.382032,-0.140911,0.093134,0.095924,1.002522,109.847946,-15.044595,-3.057934,111.686691,-0.049528
mV008,1,-0.022631,0.190562,0.027799,-0.017693,-0.251771,0.025146,-0.36407,-0.145182,0.628082,0.049636,-0.214414,0.466369,-0.130326,-0.185036,0.097635,-0.337934,0.12531,0.611876,0.067331,0.175288,0.454664,-0.133687,0.124891,0.09405,9.256476,93.950569,1.712645,-8.379056,90.829445,-3.213258
